account_id,tx_count,active_days,mean_gap_min,std_gap_min,night_tx_ratio,weekend_tx_ratio,burstiness_cv,amt_mean,amt_median,amt_std,amt_max,amt_p95,amt_p05,amt_cv,amt_p95_p05_spread,amt_max_to_median,session_count,avg_session_duration_min,median_tx_per_session,max_tx_per_session,avg_counterparties_per_session,in_amount_total,in_tx_count,in_unique_counterparties,out_amount_total,out_tx_count,out_unique_counterparties,net_flow,out_in_ratio,tx_out_ratio,transfer_action_share,account_money_launderer
NORM_A_0000,66,3,224.39749976179485,1421.1234761870726,0.24242424242424243,0.24242424242424243,6.333062880360257,24.618045648150343,3.96948160535117,77.18257649330835,602.5333333333333,52.64515685195377,0.22686733556298772,3.1352032405995396,52.418289516390786,151.79144110935582,3.0,4.359126066666667,23.0,27.0,2.6666666666666665,792.9557156023487,3,1,831.8352971755737,63.0,2.0,-38.87958157322498,1.0490312142383527,0.9545454545454546,0.0,0
NORM_A_0001,134,5,171.44888661879702,1137.6134864637759,0.6940298507462687,0.39552238805970147,6.635292353884858,147985.2311801983,8.290811535881959,522297.6768247792,2600000.0,1572367.3963332681,0.2217019695280565,3.5293905524179574,1572367.1746312985,313600.18120631634,7.0,2.8762626666666664,20.0,29.0,2.0,1398.9129710436248,7,1,19828622.06517553,127.0,1.0,-19827223.152204487,14174.307105311113,0.9477611940298507,0.0,0
NORM_A_0002,65,3,371.3112632320313,2130.513625821016,0.6461538461538462,0.2,5.737810394643656,55405.251751479715,6.7934782608695645,354054.40053965634,2733333.3333333335,224.40473870017263,0.13001541439777198,6.390267877994085,224.27472328577485,402346.66666666674,3.0,4.150560433333333,23.0,29.0,2.3333333333333335,344.6675740718823,3,1,3600996.6962721096,62.0,2.0,-3600652.028698038,10447.73853754256,0.9538461538461539,0.0,0
NORM_A_0003,126,6,229.47671635306668,1404.5133238265335,0.35714285714285715,0.5238095238095238,6.120504712406583,337056.65278056415,6.4,2505533.334948093,27533333.333333332,700125.5425925925,0.18052956304408196,7.433567367024452,700125.3620630295,4302083.333333333,6.0,3.629972822222222,20.0,27.0,2.3333333333333335,27534464.880755346,6,1,14934673.36959574,120.0,2.0,12599791.511159606,0.5423992597740306,0.9523809523809523,0.0,0
NORM_A_0004,110,5,173.4100166848624,1098.963170430557,0.3090909090909091,0.3,6.33736846025279,206078.225870968,9.356136820925554,677433.2809512427,3266666.6666666665,2066666.6666666665,0.22111111111111112,3.28726277649248,2066666.4455555554,349146.95340501785,6.0,3.2282706166666664,18.0,26.0,2.3333333333333335,685.7712794309717,6,1,22667919.074527048,104.0,2.0,-22667233.303247616,33054.6346200676,0.9454545454545454,0.0,0
NORM_A_0005,131,6,300.94214245525643,1816.8346048713574,0.48854961832061067,0.35877862595419846,6.037155813567989,276670.0378819544,10.133333333333333,1630707.2681786465,17533333.333333332,2000000.0,0.20735785953177258,5.894050836377206,1999999.7926421405,1730263.1578947369,7.0,3.4174086904761904,17.0,32.0,2.4285714285714284,17534678.770167645,7,1,18709096.19236839,124.0,2.0,-1174417.422200743,1.0669768427237356,0.9465648854961832,0.0,0
NORM_A_0006,85,4,329.33390854861113,1761.564005950285,0.5764705882352941,0.0,5.348869218215562,47859.03095439051,4.266666666666667,224338.47119065444,1400000.0,227.76099840012498,0.11371237458193979,4.687484612976143,227.64728602554302,328125.0,4.0,3.604093595833333,21.0,26.0,2.25,336.60692019643955,4,1,4067681.0242029964,81.0,2.0,-4067344.4172828,12084.365413013937,0.9529411764705882,0.0,0
NORM_A_0007,106,4,344.6042274530159,2538.6912816388285,0.8018867924528302,0.42452830188679247,7.366976605024265,513852.6966769898,11.141304347826086,3303251.798226708,24666666.666666664,224.51896187250082,0.18537906137184118,6.42840218527285,224.333582811129,2213983.7398373983,5.0,3.39103612,21.0,24.0,2.2,48133634.18522502,5,1,6334751.662535896,101.0,2.0,41798882.52268912,0.13160759144341516,0.9528301886792453,0.0,0
NORM_A_0008,78,4,390.42203000519487,2520.1374553230085,0.2564102564102564,0.0,6.454905875289558,54731.911677981145,10.529577464788733,340903.447451591,2333333.3333333335,275.88888888888846,0.21304347826086956,6.228604793805106,275.6758454106276,221598.0024968789,4.0,4.054587558333333,20.0,24.0,2.5,1325.5549416820134,4,1,4267763.555940848,74.0,2.0,-4266438.000999166,3219.6051794921673,0.9487179487179487,0.0,0
NORM_A_0009,100,3,293.37672650690234,2627.734093496539,0.23,0.56,8.956859410027931,200683.34911333642,13.021739130434781,650747.2832885694,3333333.333333333,2000000.0,0.17870236662655437,3.2426570822328578,1999999.8212976335,255982.19254312743,5.0,3.6064899233333336,22.0,23.0,2.4,518.1442962962963,5,1,20067816.767037347,95.0,2.0,-20067298.62274105,38730.17016781314,0.95,0.0,0
